"tvelx-rfile"
"Time Step" "tvelx etc.."
("Time Step" "tvelx(t1)" "tvelx(t2)" "flow-time")
11587 -1.094304e-08 0 11.58824
11588 -1.094304e-08 0 11.58924
11589 -1.117587e-08 0 11.59024
11590 -1.14087e-08 0 11.59124
11591 -1.094304e-08 0 11.59224
11592 -1.117587e-08 0 11.59324
11593 -1.094304e-08 0 11.59424
11594 -1.094304e-08 0 11.59524
11595 -1.094304e-08 0 11.59624
11596 -1.094304e-08 0 11.59724
11597 -1.094304e-08 0 11.59824
11598 -1.094304e-08 0 11.59924
11599 -1.094304e-08 0 11.60024
11600 -1.094304e-08 0 11.60124
11601 -1.094304e-08 0 11.60224
11602 -1.071021e-08 0 11.60324
11603 -1.094304e-08 0 11.60425
11604 -1.117587e-08 0 11.60525
11605 -1.071021e-08 0 11.60625
11606 -1.117587e-08 0 11.60725
11607 -1.094304e-08 0 11.60825
11608 -1.117587e-08 0 11.60925
11609 -1.117587e-08 0 11.61025
11610 -1.117587e-08 0 11.61125
11611 -1.094304e-08 0 11.61225
11612 -1.071021e-08 0 11.61325
11613 -1.117587e-08 0 11.61425
11614 -1.071021e-08 0 11.61525
11615 -1.094304e-08 0 11.61625
11616 -1.094304e-08 0 11.61725
11617 -1.14087e-08 0 11.61825
11618 -1.071021e-08 0 11.61925
11619 -1.117587e-08 0 11.62025
11620 -1.094304e-08 0 11.62125
11621 -1.094304e-08 0 11.62225
11622 -1.071021e-08 0 11.62325
11623 -1.094304e-08 0 11.62425
11624 -1.117587e-08 0 11.62525
11625 -1.164153e-08 0 11.62625
11626 -1.117587e-08 0 11.62725
11627 -1.14087e-08 0 11.62825
11628 -1.14087e-08 0 11.62926
11629 -1.117587e-08 0 11.63026
11630 -1.117587e-08 0 11.63126
11631 -1.14087e-08 0 11.63226
11632 -1.117587e-08 0 11.63326
11633 -1.14087e-08 0 11.63426
11634 -1.14087e-08 0 11.63526
11635 -1.117587e-08 0 11.63626
11636 -1.164153e-08 0 11.63726
11637 -1.14087e-08 0 11.63826
11638 -1.14087e-08 0 11.63926
11639 -1.164153e-08 0 11.64026
11640 -1.094304e-08 0 11.64126
11641 -1.187436e-08 0 11.64226
11642 -1.14087e-08 0 11.64326
11643 -1.187436e-08 0 11.64426
11644 -1.187436e-08 0 11.64526
11645 -1.187436e-08 0 11.64626
11646 -1.187436e-08 0 11.64726
11647 -1.164153e-08 0 11.64826
11648 -1.14087e-08 0 11.64926
11649 -1.187436e-08 0 11.65026
11650 -1.187436e-08 0 11.65126
11651 -1.164153e-08 0 11.65226
11652 -1.164153e-08 0 11.65326
11653 -1.234002e-08 0 11.65427
11654 -1.210719e-08 0 11.65527
11655 -1.187436e-08 0 11.65627
11656 -1.187436e-08 0 11.65727
11657 -1.187436e-08 0 11.65827
11658 -1.187436e-08 0 11.65927
11659 -1.187436e-08 0 11.66027
11660 -1.234002e-08 0 11.66127
11661 -1.187436e-08 0 11.66227
11662 -1.257285e-08 0 11.66327
11663 -1.187436e-08 0 11.66427
11664 -1.187436e-08 0 11.66527
11665 -1.234002e-08 0 11.66627
11666 -1.210719e-08 0 11.66727
11667 -1.187436e-08 0 11.66827
11668 -1.257285e-08 0 11.66927
11669 -1.257285e-08 0 11.67027
11670 -1.257285e-08 0 11.67127
11671 -1.280569e-08 0 11.67227
11672 -1.280569e-08 0 11.67327
11673 -1.234002e-08 0 11.67427
11674 -1.234002e-08 0 11.67527
11675 -1.257285e-08 0 11.67627
11676 -1.257285e-08 0 11.67727
11677 -1.257285e-08 0 11.67828
11678 -1.234002e-08 0 11.67928
11679 -1.234002e-08 0 11.68028
11680 -1.303852e-08 0 11.68128
11681 -1.280569e-08 0 11.68228
11682 -1.280569e-08 0 11.68328
11683 -1.257285e-08 0 11.68428
11684 -1.303852e-08 0 11.68528
11685 -1.280569e-08 0 11.68628
11686 -1.210719e-08 0 11.68728
11687 -1.303852e-08 0 11.68828
11688 -1.257285e-08 0 11.68928
11689 -1.303852e-08 0 11.69028
11690 -1.350418e-08 0 11.69128
11691 -1.303852e-08 0 11.69228
11692 -1.280569e-08 0 11.69328
11693 -1.280569e-08 0 11.69428
11694 -1.350418e-08 0 11.69528
11695 -1.373701e-08 0 11.69628
11696 -1.303852e-08 0 11.69728
11697 -1.303852e-08 0 11.69828
11698 -1.303852e-08 0 11.69928
11699 -1.303852e-08 0 11.70028
11700 -1.303852e-08 0 11.70128
11701 -1.350418e-08 0 11.70228
11702 -1.327135e-08 0 11.70329
11703 -1.280569e-08 0 11.70429
11704 -1.373701e-08 0 11.70529
11705 -1.350418e-08 0 11.70629
11706 -1.350418e-08 0 11.70729
11707 -1.327135e-08 0 11.70829
11708 -1.373701e-08 0 11.70929
11709 -1.327135e-08 0 11.71029
11710 -1.373701e-08 0 11.71129
11711 -1.303852e-08 0 11.71229
11712 -1.396984e-08 0 11.71329
11713 -1.373701e-08 0 11.71429
11714 -1.350418e-08 0 11.71529
11715 -1.303852e-08 0 11.71629
11716 -1.373701e-08 0 11.71729
11717 -1.350418e-08 0 11.71829
11718 -1.303852e-08 0 11.71929
11719 -1.327135e-08 0 11.72029
11720 -1.327135e-08 0 11.72129
11721 -1.327135e-08 0 11.72229
11722 -1.327135e-08 0 11.72329
11723 -1.350418e-08 0 11.72429
11724 -1.350418e-08 0 11.72529
11725 -1.350418e-08 0 11.72629
11726 -1.303852e-08 0 11.72729
11727 -1.350418e-08 0 11.7283
11728 -1.396984e-08 0 11.7293
11729 -1.327135e-08 0 11.7303
11730 -1.396984e-08 0 11.7313
11731 -1.373701e-08 0 11.7323
11732 -1.327135e-08 0 11.7333
11733 -1.350418e-08 0 11.7343
11734 -1.373701e-08 0 11.7353
11735 -1.373701e-08 0 11.7363
11736 -1.420267e-08 0 11.7373
11737 -1.373701e-08 0 11.7383
