Name;Episode;Step;Drag;lift
Simu_M005_NbAct100_lift;1;5240;0.1426051;0.004472197
Simu_M005_NbAct100_lift;1;5260;0.1432545;0.008421804
Simu_M005_NbAct100_lift;1;5280;0.143124;0.015891
Simu_M005_NbAct100_lift;1;5300;0.1425938;0.02579352
Simu_M005_NbAct100_lift;1;5320;0.1420127;0.03666215
Simu_M005_NbAct100_lift;1;5340;0.1415724;0.04683611
Simu_M005_NbAct100_lift;1;5360;0.1412819;0.05481818
Simu_M005_NbAct100_lift;1;5380;0.1409982;0.05916825
Simu_M005_NbAct100_lift;1;5400;0.1404868;0.05932564
Simu_M005_NbAct100_lift;1;5420;0.1395225;0.05531013
Simu_M005_NbAct100_lift;1;5440;0.1383235;0.04778582
Simu_M005_NbAct100_lift;1;5460;0.1373659;0.03783958
Simu_M005_NbAct100_lift;1;5480;0.1371022;0.02692221
Simu_M005_NbAct100_lift;1;5500;0.1377939;0.01673557
Simu_M005_NbAct100_lift;1;5520;0.1393376;0.008953444
Simu_M005_NbAct100_lift;1;5540;0.1412457;0.004677291
Simu_M005_NbAct100_lift;1;5560;0.1427511;0.004744084
Simu_M005_NbAct100_lift;1;5580;0.143272;0.00922097
Simu_M005_NbAct100_lift;1;5600;0.1430697;0.01708558
Simu_M005_NbAct100_lift;1;5620;0.1425162;0.02720802
Simu_M005_NbAct100_lift;1;5640;0.1419444;0.03808752
Simu_M005_NbAct100_lift;1;5660;0.1415351;0.04809695
Simu_M005_NbAct100_lift;1;5680;0.1412485;0.05562077
Simu_M005_NbAct100_lift;1;5700;0.1409472;0.0594297
Simu_M005_NbAct100_lift;1;5720;0.1403852;0.05902329
Simu_M005_NbAct100_lift;1;5740;0.1393684;0.05449844
Simu_M005_NbAct100_lift;1;5760;0.1381762;0.04658366
Simu_M005_NbAct100_lift;1;5780;0.137286;0.03641699
Simu_M005_NbAct100_lift;1;5800;0.1371385;0.0254995
Simu_M005_NbAct100_lift;1;5820;0.1379581;0.01553712
Simu_M005_NbAct100_lift;1;5840;0.1395872;0.008160415
Simu_M005_NbAct100_lift;1;5860;0.1414834;0.004428597
Simu_M005_NbAct100_lift;1;5880;0.1428748;0.005107387
Simu_M005_NbAct100_lift;1;5900;0.1432773;0.010077
Simu_M005_NbAct100_lift;1;5920;0.1430103;0.01831221
Simu_M005_NbAct100_lift;1;5940;0.1424358;0.02862726
Simu_M005_NbAct100_lift;1;5960;0.1418806;0.03949387
Simu_M005_NbAct100_lift;1;5980;0.141487;0.04922591
Simu_M005_NbAct100_lift;1;6000;0.1412161;0.05635097
Simu_M005_NbAct100_lift;1;6020;0.1408939;0.05961882
Simu_M005_NbAct100_lift;1;6040;0.1402852;0.05865864
Simu_M005_NbAct100_lift;1;6060;0.1392148;0.05363378
Simu_M005_NbAct100_lift;1;6080;0.1380316;0.04535083
Simu_M005_NbAct100_lift;1;6100;0.1372204;0.03498157
Simu_M005_NbAct100_lift;1;6120;0.1371908;0.02409651
Simu_M005_NbAct100_lift;1;6140;0.1381323;0.01436823
Simu_M005_NbAct100_lift;1;6160;0.1398327;0.007384808
Simu_M005_NbAct100_lift;1;6180;0.1417192;0.004253751
Simu_M005_NbAct100_lift;1;6200;0.142978;0.005536618
Simu_M005_NbAct100_lift;1;6220;0.1432736;0.01099048
Simu_M005_NbAct100_lift;1;6240;0.1429421;0.0195789
Simu_M005_NbAct100_lift;1;6260;0.1423555;0.03005982
Simu_M005_NbAct100_lift;1;6280;0.1418193;0.04087987
Simu_M005_NbAct100_lift;1;6300;0.141448;0.05035579
Simu_M005_NbAct100_lift;1;6320;0.1411885;0.0570316
Simu_M005_NbAct100_lift;1;6340;0.1408392;0.05976885
Simu_M005_NbAct100_lift;1;6360;0.1401669;0.05821817
Simu_M005_NbAct100_lift;1;6380;0.1390567;0.05270974
Simu_M005_NbAct100_lift;1;6400;0.1378943;0.04408068
Simu_M005_NbAct100_lift;1;6420;0.1371651;0.03354454
Simu_M005_NbAct100_lift;1;6440;0.1372596;0.02271518
Simu_M005_NbAct100_lift;1;6460;0.138322;0.0132783
Simu_M005_NbAct100_lift;1;6480;0.1400935;0.006783175
Simu_M005_NbAct100_lift;1;6500;0.141942;0.004158908
Simu_M005_NbAct100_lift;1;6520;0.1430638;0.006041923
Simu_M005_NbAct100_lift;1;6540;0.1432573;0.01196485
Simu_M005_NbAct100_lift;1;6560;0.1428716;0.02087955
Simu_M005_NbAct100_lift;1;6580;0.1422777;0.0314948
Simu_M005_NbAct100_lift;1;6600;0.1417641;0.04224123
Simu_M005_NbAct100_lift;1;6620;0.1414098;0.05142874
Simu_M005_NbAct100_lift;1;6640;0.1411535;0.0576333
Simu_M005_NbAct100_lift;1;6660;0.1407685;0.05977882
Simu_M005_NbAct100_lift;1;6680;0.1400381;0.05771667
Simu_M005_NbAct100_lift;1;6700;0.138896;0.05173451
Simu_M005_NbAct100_lift;1;6720;0.1377601;0.0427811
Simu_M005_NbAct100_lift;1;6740;0.1371229;0.03210602
Simu_M005_NbAct100_lift;1;6760;0.1373463;0.0213665
Simu_M005_NbAct100_lift;1;6780;0.13852;0.01223152
Simu_M005_NbAct100_lift;1;6800;0.1403433;0.006187761
Simu_M005_NbAct100_lift;1;6820;0.1421435;0.004122451
Simu_M005_NbAct100_lift;1;6840;0.1431354;0.006622827
Simu_M005_NbAct100_lift;1;6860;0.1432302;0.01299214
Simu_M005_NbAct100_lift;1;6880;0.1427981;0.0222136
Simu_M005_NbAct100_lift;1;6900;0.1422007;0.03293695
Simu_M005_NbAct100_lift;1;6920;0.1417086;0.04357361
Simu_M005_NbAct100_lift;1;6940;0.1413708;0.05245154
Simu_M005_NbAct100_lift;1;6960;0.1411163;0.05816082
Simu_M005_NbAct100_lift;1;6980;0.1407071;0.05978889
Simu_M005_NbAct100_lift;1;7000;0.1399002;0.05713508
Simu_M005_NbAct100_lift;1;7020;0.1387333;0.05070177
Simu_M005_NbAct100_lift;1;7040;0.1376344;0.04144516
Simu_M005_NbAct100_lift;1;7060;0.1370959;0.03066372
Simu_M005_NbAct100_lift;1;7080;0.1374498;0.02003941
Simu_M005_NbAct100_lift;1;7100;0.1387391;0.0112847
Simu_M005_NbAct100_lift;1;7120;0.1405979;0.005680885
Simu_M005_NbAct100_lift;1;7140;0.1423472;0.004231202
Simu_M005_NbAct100_lift;1;7160;0.1431935;0.007265904
Simu_M005_NbAct100_lift;1;7180;0.1431937;0.01407022
Simu_M005_NbAct100_lift;1;7200;0.14272;0.02357366
Simu_M005_NbAct100_lift;1;7220;0.1421272;0.03437531
Simu_M005_NbAct100_lift;1;7240;0.1416557;0.04487016
Simu_M005_NbAct100_lift;1;7260;0.1413348;0.05340786
Simu_M005_NbAct100_lift;1;7280;0.141073;0.05860579
